header,type,include_count_unconditional,include_count_conditional,total_tu,ratio_unconditional,gameclient_ratio,in_conditional_dominant,aggregator_coverage,recent_changes_6mo,target_pch
GameClient/GameCameraManager.h,project,1,0,233,0.004,0.111,false,,1,unified
GameClient/GameClientOverlay.h,project,1,0,233,0.004,0.111,false,,1,unified
GameClient/GameClientRenderPipeline.h,project,1,0,233,0.004,0.111,false,,1,unified
GameClient/GameClientSession.h,project,1,0,233,0.004,0.111,false,,1,unified
GameClient/GameClientSettings.h,project,1,0,233,0.004,0.111,false,,1,unified
GameFramework/Level.h,project,1,0,233,0.004,0.000,false,,1,unified
GameFramework/WorldContext.h,project,1,0,233,0.004,0.000,false,,1,unified
GizmoComponent.h,project,1,0,233,0.004,0.000,false,,0,unified
ImGui/imgui.h,project,1,0,233,0.004,0.111,false,,0,unified
ImGui/imgui_impl_dx11.h,project,1,0,233,0.004,0.111,false,,0,unified
ImGui/imgui_impl_win32.h,project,1,0,233,0.004,0.111,false,,0,unified
LuaInputLibrary.h,project,1,0,233,0.004,0.000,false,,0,unified
MaterialManager.h,project,1,0,233,0.004,0.000,false,,0,unified
Mesh/FBX/FBXImporter.h,project,1,0,233,0.004,0.000,false,,1,unified
MeshBufferManager.h,project,1,0,233,0.004,0.000,false,,0,unified
Notification.h,project,1,0,233,0.004,0.000,false,,0,unified
objbase.h,system,1,0,233,0.004,0.000,false,,0,unified
Platform/DirectoryWatcher.h,project,1,0,233,0.004,0.000,false,,1,unified
Profiling/PlatformTime.h,project,1,0,233,0.004,0.000,false,,1,unified
Profiling/ShadowStats.h,project,1,0,233,0.004,0.000,false,,1,unified
Profiling/Timer.h,project,1,0,233,0.004,0.000,false,,1,unified
RasterizerStateManager.h,project,1,0,233,0.004,0.000,false,,0,unified
Render/Culling/GPUOcclusionCulling.h,project,1,0,233,0.004,0.000,false,,1,unified
Render/Pipeline/DefaultRenderPipeline.h,project,1,0,233,0.004,0.000,false,,1,unified
Render/Proxy/CylindricalBillboardSceneProxy.h,project,1,0,233,0.004,0.000,false,,1,unified
Render/Proxy/GizmoSceneProxy.h,project,1,0,233,0.004,0.000,false,,1,unified
Render/Proxy/SkeletalMeshSceneProxy.h,project,1,0,233,0.004,0.000,false,,1,unified
Render/Proxy/StaticMeshSceneProxy.h,project,1,0,233,0.004,0.000,false,,1,unified
Render/RenderPass/PassRenderStateTable.h,project,1,0,233,0.004,0.000,false,,1,unified
Render/RenderPass/RenderPassRegistry.h,project,1,0,233,0.004,0.000,false,,1,unified
Render/Scene/SceneEnvironment.h,project,1,0,233,0.004,0.000,false,,1,unified
Render/Types/FogParams.h,project,1,0,233,0.004,0.000,false,,1,unified
Render/Types/ForwardLightData.h,project,1,0,233,0.004,0.000,false,,1,unified
Render/Types/MaterialTextureSlot.h,project,1,0,233,0.004,0.000,false,,1,unified
Render/Types/ShadowSettings.h,project,1,0,233,0.004,0.000,false,,1,unified
Renderer.h,project,1,0,233,0.004,0.000,false,,0,unified
Runtime/PooledObjectInterface.h,project,1,0,233,0.004,0.000,false,,1,unified
Runtime/RuntimeModuleManager.h,project,1,0,233,0.004,0.000,false,,1,unified
Runtime/TaskScheduler.h,project,1,0,233,0.004,0.000,false,,1,unified
SamplerStateManager.h,project,1,0,233,0.004,0.000,false,,0,unified
SceneComponent.h,project,1,0,233,0.004,0.000,false,,0,unified
Scripting/LuaInputLibrary.h,project,1,0,233,0.004,0.000,false,,1,unified
Serialization/CurveSaveManager.h,project,1,0,233,0.004,0.000,false,,1,unified
Serialization/MemoryArchive.h,project,1,0,233,0.004,0.000,false,,1,unified
ShaderInclude.h,project,1,0,233,0.004,0.000,false,,0,unified
ShaderManager.h,project,1,0,233,0.004,0.000,false,,0,unified
ShadowStats.h,project,1,0,233,0.004,0.000,false,,0,unified
Sound/SoundManager.h,project,1,0,233,0.004,0.000,false,,1,unified
stdexcept,system,1,0,233,0.004,0.000,false,,0,unified
system_error,system,1,0,233,0.004,0.000,false,,0,unified
UI/SWindow.h,project,1,0,233,0.004,0.000,false,,1,unified
Viewport/ViewportClient.h,project,1,0,233,0.004,0.000,false,,1,unified
windowsx.h,system,1,0,233,0.004,0.000,false,,0,unified
cstddef,system,0,1,233,0.000,0.000,true,,0,unified
Engine/UI/Rml/RmlUiWindowsMacroGuard.h,project,0,1,233,0.000,0.000,true,,1,unified
Games/Crossy/CrossyGameModule.h,project,0,1,233,0.000,0.000,true,,1,unified
RmlUi/Core/Vertex.h,system,0,1,233,0.000,0.000,true,,0,unified
